[18:31:18](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:14
[18:31:18](info)+ |=user> 14(student) |=get> / |=info> sent
[18:31:51](info)+ |=user> 14(student) |=get> /profile |=info> sent
[18:32:01](info)+ |=user> 14(student) |=get> / |=info> sent
[18:32:03](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:32:05](info)+ |=user> 14(student) |=get> / |=info> sent
[18:32:05](info)+ |=user> 14(student) |=get> /results |=info> sent
[18:32:20](info)+ |=user> 14(student) |=get> / |=info> sent
[18:32:22](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:32:28](info)+ |=user> 14(student) |=get> / |=info> sent
[18:32:33](info)+ |=user> (null) |=get> /logout |=info> sent
[18:32:33](info)+ |=user> (null) |=get> /login |=info> sent
[18:32:41](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:1
[18:32:41](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:32:42](info)+ |=user> 1(admin) |=get> /add-user |=info> sent
[18:33:07](info)+ |=user> 1(admin) |=post> /add-user |=info> submitted successfully
[18:33:07](info)+ |=user> 1(admin) |=get> /user/II10000016 |=info> sent
[18:33:12](info)+ |=user> 1(admin) |=get> /users |=info> sent
[18:33:19](info)+ |=user> 1(admin) |=get> / |=info> sent
[18:33:23](info)+ |=user> (null) |=get> /logout |=info> sent
[18:33:23](info)+ |=user> (null) |=get> /login |=info> sent
[18:33:32](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:15
[18:33:32](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:33:36](info)+ |=user> 15(teacher) |=get> /profile |=info> sent
[18:33:41](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:33:42](info)+ |=user> 15(teacher) |=get> /students |=info> sent
[18:33:50](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:33:52](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:33:57](info)+ |=user> 15(teacher) |=get> /add-question-paper |=info> sent
[18:34:33](info)+ |=user> 15(teacher) |=post> /add-question-paper |=info> submitted successfully
[18:34:33](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc11-2022 |=info> sent
[18:34:59](info)+ |=user> 15(teacher) |=post> /edit-question-paper |=info> updated
[18:34:59](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc11-2022 |=info> sent
[18:35:10](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:35:20](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:35:22](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:35:24](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:35:24](info)+ |=user> (null) |=get> /logout |=info> sent
[18:35:24](info)+ |=user> (null) |=get> /login |=info> sent
[18:35:44](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:14
[18:35:44](info)+ |=user> 14(student) |=get> / |=info> sent
[18:35:46](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:36:02](info)+ |=user> 14(student) |=post> /submit-exam |=info> submitted successfully
[18:36:02](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:36:13](info)+ |=user> 14(student) |=get> / |=info> sent
[18:36:16](info)+ |=user> 14(student) |=get> /exams |=info> sent
[18:36:17](info)+ |=user> 14(student) |=get> / |=info> sent
[18:36:17](info)+ |=user> (null) |=get> /logout |=info> sent
[18:36:17](info)+ |=user> (null) |=get> /login |=info> sent
[18:36:23](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:16
[18:36:23](info)+ |=user> 16(student) |=get> / |=info> sent
[18:36:24](info)+ |=user> 16(student) |=get> /exams |=info> sent
[18:36:36](info)+ |=user> 16(student) |=post> /submit-exam |=info> submitted successfully
